title,location,skill,type,seniority_level,est_salary,remote,description,date
Abnitio Developer,"Cliftonville, Northampton","['Hadoop', 'Hive']",full time,2,34150.61,False,". Join us as a Abnitio Developer at Barclays where you'll spearhead the evolution of our digital landscape, driving innovation and excellence. You'll harness cutting-edge technology to revolutionise our digital offerings, ensuring unapparelled customer experiences. You may be assessed on the key critical skills for success in this role, such as development experience in Ab-Initio, with full software development lifecycle (SDLC) in Hadoop & Cloud and a working knowledge on Teradata, Hive, Impala…",2024-11-20 08:41:19.315275
ETL Developer,"Cliftonville, Northampton",['Hadoop'],full time,2,22240.9,False,". Join us as a ETL Developer at Barclays where you'll spearhead the evolution of our digital landscape, driving innovation and excellence. You'll harness cutting-edge technology to revolutionise our digital offerings, ensuring unapparelled customer experiences. You may be assessed on the key critical skills relevant for success in this role, such as experience in Abinitio, Hadoop platform and Cloud Technologies tool like DBT, GLUE, Lambda etc . Experience working part of an agile team of develo…",2024-11-20 08:41:19.315275
Java Developer,"Cliftonville, Northampton","['Java', 'Spring Boot', 'AWS', 'Hadoop', 'REST API']",full time,2,25854.16,False,"Join us as a Java Developer at Barclays where you'll take part in the evolution of our digital landscape, driving innovation and excellence. You'll harness cutting-edge technology to revolutionise our digital offerings, ensuring unapparelled customer experiences. To be successful in this role you should have: Very good knowledge on Java (8) including microservices, Java script, Spring Boot, REST API. Good understanding of AWS Cloud architecture, JBPM, Hadoop ecosystem components and DevOps tool…",2024-11-20 08:41:19.315275
Market Risk Developer,"Fenchurch St, Central London","['C', 'C++', 'NoSQL', 'MongoDB']",full time,2,29617.19,False,". Join us as Market Risk Developer at Barclays, where you'll design, develop and improve software, utilising various engineering methodologies, that provides business, platform, and technology capabilities for our customers and colleagues. To be successful as a Market Risk Developer , you should have experience with NET developer (C# or F#) Full Stack Developer Full Stack Developer NoSQL database solutions, e.g. MongoDB Some other highly valued skills may include Data Analytics or Data Engineer…",2024-11-20 08:41:19.315275
ETL Senior Developer,"Cliftonville, Northampton","['Hadoop', 'Linux', 'Unix']",full time,3,25290.73,False,". Join us as a ETL Senior Developer at Barclays where you'll spearhead the evolution of our digital landscape, driving innovation and excellence. You'll harness cutting-edge technology to revolutionise our digital offerings, ensuring unapparelled customer experiences. You may be assessed on the key critical skills relevant for success in role, such as experience in AB initio development and standard techniques On UNIX and Hadoop , Linux. Knowledge of Data Structure and Algorithms with experienc…",2024-11-20 08:41:19.315275
Full Stack Java Developer,"Toft, Knutsford","['Java', 'React']",full time,2,32369.49,False,"Join us as a Full Stack Java Developer at Barclays, where you'll be working within Cards & Payments designing, implementing, and improving software, driving innovation and excellence. You'll harness cutting-edge technology to revolutionise our digital offerings, ensuring unapparelled experiences To be successful as a Full Stack Java Developer, you should have experience with Hands on Java engineer experience in React stack, with knowledge of design patterns and application security aspects comb…",2024-11-20 08:41:19.315275
Occupational Therapist - Development Opportunity,"Heathfield, Newton Abbot",[],full time,2,37320.68,False,"Does working 4 days a week but with FULL pay sound like a dream? It doesn't have to be Have a better work/life balance and come and work for Outcomes First Group Job Title: Occupational Therapist – Development Opportunity Location: The Greater Horseshoe School and The School for Inspiring Talents, Devon Salary: £45,000 FTE, dependent on experience Hours: 37.5 hours per week Monday to Friday Contract: Permanent, Term Time only, 41 weeks Essential: Full UK driving licence and access to own vehicl…",2024-11-20 08:41:19.315275
E-Learning Developer,"Milton Keynes, Buckinghamshire",[],full time,2,27540.91,False,"Join the World's Leading Pizza Delivery Company You already know who we are and what we do Domino's UK & Ireland is the powerhouse behind our exceptional products. We're innovative, dynamic, and laser-focused on delivering unparalleled service to our franchisees and customers alike. We are looking to recruit an experienced e-Learning Developer to support our Operations team at Domino’s As an e-Learning Developer, you’ll play a crucial role in creating engaging and effective digital learning sol…",2024-11-20 08:41:19.315275
Senior Full Stack Java Developer,"Toft, Knutsford","['Java', 'React']",full time,3,33620.38,False,"Join us as a Senior Full Stack Java Developer at Barclays, where you'll be working within Cards & Payments designing, implementing, and improving software, driving innovation and excellence. You'll harness cutting-edge technology to revolutionise our digital offerings, ensuring unapparelled experiences To be successful as a Senior Full Stack Java Developer, you should have experience with React stack, with knowledge of design patterns and application security aspects combined with experience in…",2024-11-20 08:41:19.315275
Business Development Manager,UK,[],full time,3,55841.95,False,"The Business Development Manager for Morrison Data Services will focus on winning new business and developing new products and services for the sectors served by the MGS (M Group Services) Energy Retail Division. The Business Development Manager will be responsible for generating new leads that will deliver the growth required, developing client relationships and subsequent preparation and delivery of both pre-qualification and tender documents. As a member of the team, they will support the de…",2024-11-20 08:41:19.315275
Economic Crime Learning & Development Manager,"Shieldfield, Newcastle Upon Tyne",[],full time,3,41834.86,False,"Business Unit: COO, Economic Crime Strategy & Change Salary range: £53,200 - £77,500 per annum DOE  red-hot benefits Location: UK Remote with occasional travel to a hub Live to inspire change. Live a life more Virgin. Our Team At Virgin Money, we’re committed to protecting our customers, colleagues, stakeholders and the wider community from Economic Crime. We aim to stay ahead of emerging risks, maintaining the highest standards of security, transparency and integrity. Our Economic Crime Strate…",2024-11-20 08:41:19.315275
Economic Crime Learning & Development Manager,"Deritend, Birmingham",[],full time,3,38325,False,"Business Unit: COO, Economic Crime Strategy & Change Salary range: £53,200 - £77,500 per annum DOE  red-hot benefits Location: UK Remote with occasional travel to a hub Live to inspire change. Live a life more Virgin. Our Team At Virgin Money, we’re committed to protecting our customers, colleagues, stakeholders and the wider community from Economic Crime. We aim to stay ahead of emerging risks, maintaining the highest standards of security, transparency and integrity. Our Economic Crime Strate…",2024-11-20 08:41:19.315275
Economic Crime Learning & Development Manager,"Everton, Liverpool",[],full time,3,47110.54,False,"Business Unit: COO, Economic Crime Strategy & Change Salary range: £53,200 - £77,500 per annum DOE  red-hot benefits Location: UK Remote with occasional travel to a hub Live to inspire change. Live a life more Virgin. Our Team At Virgin Money, we’re committed to protecting our customers, colleagues, stakeholders and the wider community from Economic Crime. We aim to stay ahead of emerging risks, maintaining the highest standards of security, transparency and integrity. Our Economic Crime Strate…",2024-11-20 08:41:19.315275
Economic Crime Learning & Development Manager,"Holbeck, Leeds",[],full time,3,45162.84,False,"Business Unit: COO, Economic Crime Strategy & Change Salary range: £53,200 - £77,500 per annum DOE  red-hot benefits Location: UK Remote with occasional travel to a hub Live to inspire change. Live a life more Virgin. Our Team At Virgin Money, we’re committed to protecting our customers, colleagues, stakeholders and the wider community from Economic Crime. We aim to stay ahead of emerging risks, maintaining the highest standards of security, transparency and integrity. Our Economic Crime Strate…",2024-11-20 08:41:19.315275
Economic Crime Learning & Development Manager,"Miles Platting, Manchester",[],full time,3,49063.04,False,"Business Unit: COO, Economic Crime Strategy & Change Salary range: £53,200 - £77,500 per annum DOE  red-hot benefits Location: UK Remote with occasional travel to a hub Live to inspire change. Live a life more Virgin. Our Team At Virgin Money, we’re committed to protecting our customers, colleagues, stakeholders and the wider community from Economic Crime. We aim to stay ahead of emerging risks, maintaining the highest standards of security, transparency and integrity. Our Economic Crime Strate…",2024-11-20 08:41:19.315275
Economic Crime Learning & Development Manager,UK,[],full time,3,45864.61,False,"Business Unit: COO, Economic Crime Strategy & Change Salary range: £53,200 - £77,500 per annum DOE  red-hot benefits Location: UK Remote with occasional travel to a hub Live to inspire change. Live a life more Virgin. Our Team At Virgin Money, we’re committed to protecting our customers, colleagues, stakeholders and the wider community from Economic Crime. We aim to stay ahead of emerging risks, maintaining the highest standards of security, transparency and integrity. Our Economic Crime Strate…",2024-11-20 08:41:19.315275
Economic Crime Learning & Development Manager,"Hillhead, Glasgow City Centre",[],full time,3,44114.92,False,"Business Unit: COO, Economic Crime Strategy & Change Salary range: £53,200 - £77,500 per annum DOE  red-hot benefits Location: UK Remote with occasional travel to a hub Live to inspire change. Live a life more Virgin. Our Team At Virgin Money, we’re committed to protecting our customers, colleagues, stakeholders and the wider community from Economic Crime. We aim to stay ahead of emerging risks, maintaining the highest standards of security, transparency and integrity. Our Economic Crime Strate…",2024-11-20 08:41:19.315275
Economic Crime Learning & Development Manager,"Handsworth, Sheffield",[],full time,3,42199.78,False,"Business Unit: COO, Economic Crime Strategy & Change Salary range: £53,200 - £77,500 per annum DOE  red-hot benefits Location: UK Remote with occasional travel to a hub Live to inspire change. Live a life more Virgin. Our Team At Virgin Money, we’re committed to protecting our customers, colleagues, stakeholders and the wider community from Economic Crime. We aim to stay ahead of emerging risks, maintaining the highest standards of security, transparency and integrity. Our Economic Crime Strate…",2024-11-20 08:41:19.315275
Economic Crime Learning & Development Manager,"Ashley Down, Bristol",[],full time,3,45382,False,"Business Unit: COO, Economic Crime Strategy & Change Salary range: £53,200 - £77,500 per annum DOE  red-hot benefits Location: UK Remote with occasional travel to a hub Live to inspire change. Live a life more Virgin. Our Team At Virgin Money, we’re committed to protecting our customers, colleagues, stakeholders and the wider community from Economic Crime. We aim to stay ahead of emerging risks, maintaining the highest standards of security, transparency and integrity. Our Economic Crime Strate…",2024-11-20 08:41:19.315275
Economic Crime Learning & Development Manager,"Fenchurch St, Central London",[],full time,3,48148,False,"Business Unit: COO, Economic Crime Strategy & Change Salary range: £53,200 - £77,500 per annum DOE  red-hot benefits Location: UK Remote with occasional travel to a hub Live to inspire change. Live a life more Virgin. Our Team At Virgin Money, we’re committed to protecting our customers, colleagues, stakeholders and the wider community from Economic Crime. We aim to stay ahead of emerging risks, maintaining the highest standards of security, transparency and integrity. Our Economic Crime Strate…",2024-11-20 08:41:19.315275
Economic Crime Learning & Development Manager,"Davidsons Mains, Edinburgh",[],full time,3,45166.98,False,"Business Unit: COO, Economic Crime Strategy & Change Salary range: £53,200 - £77,500 per annum DOE  red-hot benefits Location: UK Remote with occasional travel to a hub Live to inspire change. Live a life more Virgin. Our Team At Virgin Money, we’re committed to protecting our customers, colleagues, stakeholders and the wider community from Economic Crime. We aim to stay ahead of emerging risks, maintaining the highest standards of security, transparency and integrity. Our Economic Crime Strate…",2024-11-20 08:41:19.315275
Economic Crime Learning & Development Specialist,"Handsworth, Sheffield",[],full time,2,37108.76,False,"Business Unit: COO, Economic Crime Strategy & Change Salary range: £30,400- £38,000 per annum DOE  red-hot benefits Location: UK Remote with occasional travel to a hub Live to challenge the status quo. Live a life more Virgin. Our Team At Virgin Money, we’re committed to protecting our customers, colleagues, stakeholders and the wider community from Economic Crime. We aim to stay ahead of emerging risks, maintaining the highest standards of security, transparency and integrity. Our Economic Cri…",2024-11-20 08:41:19.315275
Economic Crime Learning & Development Specialist,"Holbeck, Leeds",[],full time,2,39714.43,False,"Business Unit: COO, Economic Crime Strategy & Change Salary range: £30,400- £38,000 per annum DOE  red-hot benefits Location: UK Remote with occasional travel to a hub Live to challenge the status quo. Live a life more Virgin. Our Team At Virgin Money, we’re committed to protecting our customers, colleagues, stakeholders and the wider community from Economic Crime. We aim to stay ahead of emerging risks, maintaining the highest standards of security, transparency and integrity. Our Economic Cri…",2024-11-20 08:41:19.315275
Economic Crime Learning & Development Specialist,UK,[],full time,2,40331.46,False,"Business Unit: COO, Economic Crime Strategy & Change Salary range: £30,400- £38,000 per annum DOE  red-hot benefits Location: UK Remote with occasional travel to a hub Live to challenge the status quo. Live a life more Virgin. Our Team At Virgin Money, we’re committed to protecting our customers, colleagues, stakeholders and the wider community from Economic Crime. We aim to stay ahead of emerging risks, maintaining the highest standards of security, transparency and integrity. Our Economic Cri…",2024-11-20 08:41:19.315275
Economic Crime Learning & Development Specialist,"Hillhead, Glasgow City Centre",[],full time,2,38792.78,False,"Business Unit: COO, Economic Crime Strategy & Change Salary range: £30,400- £38,000 per annum DOE  red-hot benefits Location: UK Remote with occasional travel to a hub Live to challenge the status quo. Live a life more Virgin. Our Team At Virgin Money, we’re committed to protecting our customers, colleagues, stakeholders and the wider community from Economic Crime. We aim to stay ahead of emerging risks, maintaining the highest standards of security, transparency and integrity. Our Economic Cri…",2024-11-20 08:41:19.315275
Economic Crime Learning & Development Specialist,"Fenchurch St, Central London",[],full time,2,42339.34,False,"Business Unit: COO, Economic Crime Strategy & Change Salary range: £30,400- £38,000 per annum DOE  red-hot benefits Location: UK Remote with occasional travel to a hub Live to challenge the status quo. Live a life more Virgin. Our Team At Virgin Money, we’re committed to protecting our customers, colleagues, stakeholders and the wider community from Economic Crime. We aim to stay ahead of emerging risks, maintaining the highest standards of security, transparency and integrity. Our Economic Cri…",2024-11-20 08:41:19.315275
Economic Crime Learning & Development Specialist,"Miles Platting, Manchester",[],full time,2,43143.99,False,"Business Unit: COO, Economic Crime Strategy & Change Salary range: £30,400- £38,000 per annum DOE  red-hot benefits Location: UK Remote with occasional travel to a hub Live to challenge the status quo. Live a life more Virgin. Our Team At Virgin Money, we’re committed to protecting our customers, colleagues, stakeholders and the wider community from Economic Crime. We aim to stay ahead of emerging risks, maintaining the highest standards of security, transparency and integrity. Our Economic Cri…",2024-11-20 08:41:19.315275
Economic Crime Learning & Development Specialist,"Davidsons Mains, Edinburgh",[],full time,2,39718.14,False,"Business Unit: COO, Economic Crime Strategy & Change Salary range: £30,400- £38,000 per annum DOE  red-hot benefits Location: UK Remote with occasional travel to a hub Live to challenge the status quo. Live a life more Virgin. Our Team At Virgin Money, we’re committed to protecting our customers, colleagues, stakeholders and the wider community from Economic Crime. We aim to stay ahead of emerging risks, maintaining the highest standards of security, transparency and integrity. Our Economic Cri…",2024-11-20 08:41:19.315275
Economic Crime Learning & Development Specialist,"Ashley Down, Bristol",[],full time,2,39907.15,False,"Business Unit: COO, Economic Crime Strategy & Change Salary range: £30,400- £38,000 per annum DOE  red-hot benefits Location: UK Remote with occasional travel to a hub Live to challenge the status quo. Live a life more Virgin. Our Team At Virgin Money, we’re committed to protecting our customers, colleagues, stakeholders and the wider community from Economic Crime. We aim to stay ahead of emerging risks, maintaining the highest standards of security, transparency and integrity. Our Economic Cri…",2024-11-20 08:41:19.315275
